cohort,0,1,2,3,4,5,6,7,8,9,10,11
2023-01-01,1.0,0.14559428842020908,0.17061887589698757,0.1389866316978108,0.16344297526681967,0.1601282191381634,0.15937784577277528,0.1554802753797399,0.1639893636396751,0.15472261683604707,0.12543620005099626,0.1690525625614687
2023-02-01,1.0,0.1714520229187087,0.13999059663550806,0.16171396240247993,0.16137926637819058,0.15595240941292723,0.15562568234159713,0.161068477212779,0.15529098631730776,0.1259811773331102,0.1680891247698965,
2023-03-01,1.0,0.13901210316203028,0.16206197325898233,0.1617530574741778,0.15712724161966923,0.1549252265382422,0.16353526392497306,0.15677872124706926,0.12640992332551804,0.16870762309105886,,
2023-04-01,1.0,0.16388136368434014,0.16040999659899846,0.15645779826197093,0.1567275328665752,0.16220431809919197,0.15462829398726383,0.12634134327833094,0.16747000668472717,,,
2023-05-01,1.0,0.16091007482000846,0.15703966872147193,0.15740435744200273,0.1638864053456308,0.15659263093501483,0.12484118394428498,0.1690391040421627,,,,
2023-06-01,1.0,0.15702316133946456,0.1542725759584732,0.16108556436369792,0.15128219595452366,0.12575112139250147,0.1676587581459644,,,,,
2023-07-01,1.0,0.1555402733602682,0.16317372990630105,0.15722513539069888,0.12712112094902434,0.16700765064901574,,,,,,
2023-08-01,1.0,0.16418895234953299,0.1555495989608033,0.12214684838862656,0.16794160704344419,,,,,,,
2023-09-01,1.0,0.1556737423939802,0.1251103163175252,0.16415068047749548,,,,,,,,
2023-10-01,1.0,0.12656309208033345,0.16798321042352873,,,,,,,,,
2023-11-01,1.0,0.17002111795888464,,,,,,,,,,
2023-12-01,1.0,,,,,,,,,,,
