product_id,purchase_lines,units,clients,active_days,revenue,gross,discount_amount,min_list_price,max_list_price,discount_share,net_unit_price,revenue_share,ABC,active_months,monthly_cv,list_price_ratio,scenario_extra_revenue,break_even_unit_loss
43727,52,2307,52,48,109358883.0,228995127.0,119636244.0,99261.0,99261.0,0.5224401303526428,47403.07022106632,6.530299108119956e-05,A,12,0.33539058620764434,1.0,4579902.54,0.04019616777811058
182,56,2413,56,52,110779224.0,223844358.0,113065134.0,92766.0,92766.0,0.5051060255000932,45909.33443845835,6.615113906068526e-05,A,12,0.48526855808327585,1.0,4476887.16,0.03884294823885849
3318,61,2278,61,57,102687603.0,214489646.0,111802043.0,94157.0,94157.0,0.5212468064775491,45077.964442493416,6.131927685160027e-05,A,12,0.4347797147624462,1.0,4289792.92,0.040099993864199115
21325,59,2165,59,52,99527247.0,213490650.0,113963403.0,98610.0,98610.0,0.5338098085325985,45971.01478060046,5.943208951007068e-05,A,12,0.3701781001992386,1.0,4269813.0,0.04113616512837647
17283,50,2173,50,49,103088520.0,213038747.0,109950227.0,98039.0,98039.0,0.5161043638695453,47440.64427059365,6.155868199690796e-05,A,12,0.3428544953716041,1.0,4260774.94,0.03969075849432869
4889,62,2119,62,56,93169135.0,211601221.0,118432086.0,99859.0,99859.0,0.5596947193419077,43968.44502123643,5.563538164474557e-05,A,12,0.543787630394808,1.0,4232024.42,0.04344942550171545
40138,59,2434,59,54,98261634.0,209124412.0,110862778.0,85918.0,85918.0,0.5301283429310969,40370.433032046014,5.867633641362354e-05,A,12,0.5210004670207571,1.0,4182488.24,0.04082702012128637
14214,56,2081,56,52,93342864.0,208070866.0,114728002.0,99986.0,99986.0,0.5513890733746454,44854.81210956271,5.573912285923426e-05,A,12,0.689252446123174,1.0,4161417.3200000003,0.042679329191121516
49963,49,2050,49,45,92917602.0,202316550.0,109398948.0,98691.0,98691.0,0.5407315812769642,45325.659512195125,5.548518024541684e-05,A,12,0.4794633128943858,1.0,4046331.0,0.041730268923806955
41354,52,2119,52,48,80294794.0,202074197.0,121779403.0,95363.0,95363.0,0.6026469722900841,37892.77678150071,4.794754731034293e-05,A,12,0.6067239667755068,1.0,4041483.94,0.047921061240991256
