product_id,purchase_lines,units,clients,active_days,revenue,gross,discount_amount,min_list_price,max_list_price,discount_share,net_unit_price,revenue_share,ABC,active_months,monthly_cv,list_price_ratio
37181,60,2348,60,57,126506926.0,232752544.0,106245618.0,99128.0,99128.0,0.45647457241111833,53878.588586030666,7.554284054170501e-05,A,12,0.681659884900815,1.0
30239,48,2121,48,43,122577085.0,206082723.0,83505638.0,97163.0,97163.0,0.40520445762937635,57792.11928335691,7.319615991793224e-05,A,12,0.5994729872377791,1.0
22406,51,2119,51,48,122007891.0,207884495.0,85876604.0,98105.0,98105.0,0.41309768677072334,57578.05143935819,7.285626918673785e-05,A,12,0.5383097248577303,1.0
10292,61,2202,61,58,121115031.0,219323604.0,98208573.0,99602.0,99602.0,0.4477793142593079,55002.284741144416,7.232310327449312e-05,A,12,0.5379959318032432,1.0
45018,58,2235,58,53,118322228.0,215067345.0,96745117.0,96227.0,96227.0,0.4498363849704845,52940.59418344519,7.065539796882949e-05,A,11,0.5361521458158188,1.0
24299,59,2074,59,53,117852522.0,201793978.0,83941456.0,97297.0,97297.0,0.4159760208503348,56823.78109932497,7.03749158910381e-05,A,12,0.43810180048124964,1.0
11714,54,1963,54,48,113646456.0,191427834.0,77781378.0,97518.0,97518.0,0.406322196593417,57894.272032603156,6.78632891904898e-05,A,11,0.6183116937248084,1.0
40657,53,2108,53,49,113584037.0,208422176.0,94838139.0,98872.0,98872.0,0.4550290224395316,53882.370493358634,6.782601606471824e-05,A,12,0.5593025398427374,1.0
696,62,2425,62,58,112019601.0,209003475.0,96983874.0,86187.0,86187.0,0.46402995931048513,46193.64989690722,6.68918226333981e-05,A,12,0.5107603962510932,1.0
182,56,2413,56,52,110779224.0,223844358.0,113065134.0,92766.0,92766.0,0.5051060255000932,45909.33443845835,6.615113906068526e-05,A,12,0.48526855808327585,1.0
36531,64,2156,64,57,110381173.0,205874284.0,95493111.0,95489.0,95489.0,0.463841860890212,51197.204545454544,6.591344532982608e-05,A,12,0.3010572115027454,1.0
39838,53,2144,53,49,110296148.0,199825088.0,89528940.0,93202.0,93202.0,0.4480365348319026,51444.09888059701,6.586267316880576e-05,A,11,0.8170406435620848,1.0
4575,49,1757,49,46,110186116.0,168719439.0,58533323.0,96027.0,96027.0,0.3469269655407045,62712.64428002277,6.579696823000671e-05,A,12,0.623165781869406,1.0
