product_id,purchase_lines,units,clients,active_days,revenue,gross,discount_amount,min_list_price,max_list_price,discount_share,net_unit_price,revenue_share,ABC,active_months,monthly_cv,list_price_ratio
5945,44,1323,44,39,654.0,1323.0,669.0,1.0,1.0,0.5056689342403629,0.4943310657596372,3.905321176982442e-10,C,12,0.6140632553543935,1.0
38944,33,1056,33,28,1453.0,3168.0,1715.0,3.0,3.0,0.54135101010101,1.3759469696969697,8.676501024702582e-10,C,11,0.7061016537684538,1.0
25894,57,1884,57,50,1792.0,3768.0,1976.0,2.0,2.0,0.524416135881104,0.9511677282377919,1.0700818882496232e-09,C,12,0.5983024656469375,1.0
22981,50,1578,50,49,3960.0,7890.0,3930.0,5.0,5.0,0.49809885931558934,2.5095057034220534,2.364689886980194e-09,C,11,0.5339238900544525,1.0
35351,35,1261,35,33,4154.0,10088.0,5934.0,8.0,8.0,0.588223632038065,3.2942109436954796,2.48053580568579e-09,C,12,0.6578900086182344,1.0
38052,41,1289,41,38,5448.0,12890.0,7442.0,10.0,10.0,0.5773467804499612,4.226532195500388,3.253240026330328e-09,C,12,0.4233276289984165,1.0
47837,36,1113,36,36,7392.0,12243.0,4851.0,11.0,11.0,0.39622641509433965,6.6415094339622645,4.414087789029696e-09,C,11,0.631903512452896,1.0
34283,34,1303,34,32,8897.0,19545.0,10648.0,15.0,15.0,0.5447940649782553,6.828089025326171,5.31278937486434e-09,C,10,0.7735853005819731,1.0
33746,29,963,29,29,10832.0,20223.0,9391.0,21.0,21.0,0.46437224941897837,11.248182762201454,6.468262842366026e-09,C,12,0.6215792540089123,1.0
45824,35,1079,35,34,11042.0,21580.0,10538.0,20.0,20.0,0.48832252085264133,10.233549582947173,6.593663063645279e-09,C,12,0.6521050482230035,1.0
32822,41,1259,41,38,11689.0,22662.0,10973.0,18.0,18.0,0.48420262995322566,9.284352660841938,6.9800151739675485e-09,C,12,0.65892361868704,1.0
33836,44,1509,44,38,11906.0,22635.0,10729.0,15.0,15.0,0.47400044179368234,7.8899933730947645,7.109595402622776e-09,C,12,0.5462158049148722,1.0
24444,31,914,31,28,13615.0,27420.0,13805.0,30.0,30.0,0.5034646243617797,14.896061269146609,8.130114346271551e-09,C,11,0.7131297407009407,1.0
43430,43,1535,43,42,13687.0,21490.0,7803.0,14.0,14.0,0.3630991158678455,8.916612377850162,8.17310870785301e-09,C,12,0.5297098008624046,1.0
12663,51,1741,51,46,16458.0,36561.0,20103.0,21.0,21.0,0.5498481989004678,9.453187823090179,9.827794484828293e-09,C,12,0.8327229589432249,1.0
